datetime,open,high,low,close,volume
2025-04-25 14:25:00+05:30,24118.55,24118.85,24091.45,24104,0
2025-04-25 14:30:00+05:30,24102.55,24106.9,24057.6,24065.6,0
2025-04-25 14:35:00+05:30,24065.35,24071.2,24042.75,24064.95,0
2025-04-25 14:40:00+05:30,24063.95,24067.45,24047.75,24064.3,0
2025-04-25 14:45:00+05:30,24063.2,24073.25,24038.15,24073.2,0
2025-04-25 14:50:00+05:30,24073.85,24092.45,24066.2,24090.95,0
2025-04-25 14:55:00+05:30,24087.95,24100.3,24072.25,24076.95,0
2025-04-25 15:00:00+05:30,24073.8,24085.3,24058.45,24078.65,0
2025-04-25 15:05:00+05:30,24076.65,24085.35,24059.3,24068.65,0
2025-04-25 15:10:00+05:30,24067.85,24079.8,24045.95,24052.95,0
2025-04-25 15:15:00+05:30,24051.45,24054.65,24035.8,24035.9,0
2025-04-25 15:20:00+05:30,24034.8,24037.1,23994.85,24001.65,0
2025-04-25 15:25:00+05:30,23998.3,24006.3,23986.1,23991.65,0
2025-04-28 09:15:00+05:30,24070.25,24152.2,24054.05,24131.55,0
2025-04-28 09:20:00+05:30,24130.15,24138.15,24082.1,24090.7,0
2025-04-28 09:25:00+05:30,24089.5,24136.2,24082.75,24117.95,0
2025-04-28 09:30:00+05:30,24117.05,24185.85,24108.65,24184.3,0
2025-04-28 09:35:00+05:30,24184,24227.8,24177.65,24221.65,0
2025-04-28 09:40:00+05:30,24222.7,24226.2,24173.45,24176.6,0
2025-04-28 09:45:00+05:30,24175.75,24216.8,24175.75,24188.1,0
2025-04-28 09:50:00+05:30,24186.7,24207.9,24174.3,24196.8,0
2025-04-28 09:55:00+05:30,24197.5,24231.95,24183,24229.3,0
2025-04-28 10:00:00+05:30,24228.6,24236.15,24217.8,24229.8,0
2025-04-28 10:05:00+05:30,24229.45,24266.55,24229.45,24265.25,0
2025-04-28 10:10:00+05:30,24264.8,24279.3,24252.9,24275.85,0
2025-04-28 10:15:00+05:30,24276,24283,24265.3,24275.45,0
2025-04-28 10:20:00+05:30,24275.55,24280.2,24238,24245.55,0
2025-04-28 10:25:00+05:30,24245.5,24263,24229.35,24236.85,0
2025-04-28 10:30:00+05:30,24238.05,24263.15,24237.7,24254.6,0
2025-04-28 10:35:00+05:30,24254.25,24262.65,24240.9,24259.15,0
2025-04-28 10:40:00+05:30,24258.1,24259.05,24244.1,24245.35,0
2025-04-28 10:45:00+05:30,24245.45,24263.85,24242.8,24258.95,0
2025-04-28 10:50:00+05:30,24257.9,24282.9,24252.9,24272.45,0
2025-04-28 10:55:00+05:30,24271.85,24280.4,24263.2,24276.9,0
2025-04-28 11:00:00+05:30,24276.75,24278.6,24262.9,24268.5,0
2025-04-28 11:05:00+05:30,24267.95,24282.2,24258.3,24278.6,0
2025-04-28 11:10:00+05:30,24279.2,24280.5,24227.75,24235,0
2025-04-28 11:15:00+05:30,24236.2,24244.15,24210.75,24226,0
2025-04-28 11:20:00+05:30,24225.1,24246.25,24222.4,24229.25,0
2025-04-28 11:25:00+05:30,24228.8,24253.7,24227.05,24252.9,0
2025-04-28 11:30:00+05:30,24253.95,24265.85,24248.65,24265.25,0
2025-04-28 11:35:00+05:30,24264.9,24270.9,24260.45,24265.95,0
2025-04-28 11:40:00+05:30,24265.05,24280.45,24265,24276.55,0
2025-04-28 11:45:00+05:30,24277.45,24285.4,24267.95,24270.55,0
2025-04-28 11:50:00+05:30,24270.7,24288.8,24270.7,24272.55,0
2025-04-28 11:55:00+05:30,24272.35,24275.25,24261.3,24271.5,0
2025-04-28 12:00:00+05:30,24271.6,24291.65,24271.6,24282.8,0
2025-04-28 12:05:00+05:30,24285.05,24297.9,24272.15,24275.2,0
2025-04-28 12:10:00+05:30,24278.8,24296.5,24274.1,24289.65,0
2025-04-28 12:15:00+05:30,24292.3,24329.35,24286.95,24327.65,0
2025-04-28 12:20:00+05:30,24329.75,24336.2,24320.5,24321.3,0
2025-04-28 12:25:00+05:30,24325.65,24346.55,24320.1,24344.85,0
2025-04-28 12:30:00+05:30,24347.45,24352.1,24336.2,24343.7,0
2025-04-28 12:35:00+05:30,24346.7,24347.75,24331.9,24340.95,0
2025-04-28 12:40:00+05:30,24345.25,24345.25,24326.6,24336.45,0
2025-04-28 12:45:00+05:30,24339.5,24343.4,24333.15,24336.15,0
2025-04-28 12:50:00+05:30,24338.65,24345.25,24334.9,24335.9,0
2025-04-28 12:55:00+05:30,24338.2,24355.1,24332.15,24348.75,0
2025-04-28 13:00:00+05:30,24350.7,24352.5,24326.7,24330.9,0
2025-04-28 13:05:00+05:30,24334.7,24341.5,24313.5,24338.95,0
2025-04-28 13:10:00+05:30,24341.4,24349.3,24328.25,24339,0
2025-04-28 13:15:00+05:30,24341.85,24351.55,24328.7,24329.15,0
2025-04-28 13:20:00+05:30,24330.7,24336.05,24319.9,24333.75,0
2025-04-28 13:25:00+05:30,24336.35,24336.4,24323.15,24331.9,0
2025-04-28 13:30:00+05:30,24335.1,24342.05,24323.2,24337.75,0
2025-04-28 13:35:00+05:30,24339.6,24347.1,24323.35,24335.15,0
2025-04-28 13:40:00+05:30,24338.55,24343.6,24334.5,24341.95,0
2025-04-28 13:45:00+05:30,24344.6,24351.6,24341.7,24347.1,0
2025-04-28 13:50:00+05:30,24348.75,24351.55,24329.9,24333.15,0
2025-04-28 13:55:00+05:30,24336.55,24337.65,24325.9,24332,0
2025-04-28 14:00:00+05:30,24335.85,24339.2,24328.3,24332.55,0
2025-04-28 14:05:00+05:30,24333.85,24343.05,24331.6,24334.05,0
2025-04-28 14:10:00+05:30,24336.95,24352.3,24333.8,24350.6,0
2025-04-28 14:15:00+05:30,24352.6,24353.7,24326.05,24327,0
2025-04-28 14:20:00+05:30,24328.3,24328.35,24304.7,24304.7,0
2025-04-28 14:25:00+05:30,24308.3,24314.9,24293.55,24305.05,0
2025-04-28 14:30:00+05:30,24308,24321.65,24302.8,24302.8,0
2025-04-28 14:35:00+05:30,24305.4,24305.4,24280.9,24281.55,0
2025-04-28 14:40:00+05:30,24284.05,24284.05,24265.45,24273.65,0
2025-04-28 14:45:00+05:30,24276.45,24283.75,24260.9,24281.2,0
2025-04-28 14:50:00+05:30,24283.25,24313.6,24277.85,24311.8,0
2025-04-28 14:55:00+05:30,24313.55,24325.6,24306.3,24318.45,0
2025-04-28 15:00:00+05:30,24322.2,24341.3,24320.6,24327.95,0
2025-04-28 15:05:00+05:30,24329.9,24330.25,24311.85,24314.2,0
2025-04-28 15:10:00+05:30,24314.6,24327.95,24312.9,24324.1,0
2025-04-28 15:15:00+05:30,24325.6,24337.2,24325.25,24335.8,0
2025-04-28 15:20:00+05:30,24336.5,24337.75,24322.05,24322.45,0
2025-04-28 15:25:00+05:30,24322.4,24330.05,24309.55,24312.9,0
2025-04-29 09:15:00+05:30,24370.7,24442.25,24364.35,24439.25,0
2025-04-29 09:20:00+05:30,24438.5,24455.05,24424.5,24453.7,0
2025-04-29 09:25:00+05:30,24453.6,24457.65,24413.3,24417.1,0
2025-04-29 09:30:00+05:30,24418.25,24452.9,24393.55,24440.2,0
2025-04-29 09:35:00+05:30,24440.85,24442.5,24359.2,24369.45,0
2025-04-29 09:40:00+05:30,24370.1,24387.05,24303.9,24316.6,0
2025-04-29 09:45:00+05:30,24317.85,24364.5,24308.1,24315.55,0
2025-04-29 09:50:00+05:30,24316.75,24340.05,24290.75,24329.1,0
2025-04-29 09:55:00+05:30,24330.15,24395,24326.5,24390.25,0
2025-04-29 10:00:00+05:30,24390,24396.15,24362.2,24378.3,0
2025-04-29 10:05:00+05:30,24379.15,24379.75,24333.8,24344.65,0
2025-04-29 10:10:00+05:30,24345.2,24365.1,24338.55,24351.55,0
2025-04-29 10:15:00+05:30,24351.3,24354.1,24319,24319,0
2025-04-29 10:20:00+05:30,24318.1,24347.1,24317.4,24346.4,0
2025-04-29 10:25:00+05:30,24346.45,24348.15,24311.3,24317.8,0
2025-04-29 10:30:00+05:30,24318.85,24329.7,24305.5,24314.95,0
2025-04-29 10:35:00+05:30,24316.2,24335.25,24314.55,24331.5,0
2025-04-29 10:40:00+05:30,24331.55,24333.9,24312.8,24321.5,0
2025-04-29 10:45:00+05:30,24321.85,24352.35,24317.95,24350.7,0
2025-04-29 10:50:00+05:30,24349.85,24353.7,24328.45,24330.85,0
2025-04-29 10:55:00+05:30,24330.25,24349.95,24330.25,24333.8,0
2025-04-29 11:00:00+05:30,24334.7,24351.9,24332.8,24351.9,0
2025-04-29 11:05:00+05:30,24353.05,24369.85,24351.9,24367.1,0
2025-04-29 11:10:00+05:30,24367.25,24369.7,24350.6,24356.05,0
2025-04-29 11:15:00+05:30,24356.55,24358.5,24338.95,24348.8,0
2025-04-29 11:20:00+05:30,24348.3,24360.35,24347.05,24348.95,0
2025-04-29 11:25:00+05:30,24349.05,24358.75,24347.6,24349.25,0
2025-04-29 11:30:00+05:30,24348.65,24351.6,24334.95,24347.65,0
2025-04-29 11:35:00+05:30,24347.95,24353.6,24341.6,24346.45,0
2025-04-29 11:40:00+05:30,24346.7,24356.8,24342.2,24354.4,0
2025-04-29 11:45:00+05:30,24354.65,24355.8,24335.3,24340.15,0
2025-04-29 11:50:00+05:30,24340.8,24340.85,24321,24322.95,0
2025-04-29 11:55:00+05:30,24323.4,24329.1,24311.95,24313.25,0
2025-04-29 12:00:00+05:30,24313.4,24322.5,24302.45,24322.05,0
2025-04-29 12:05:00+05:30,24322.15,24323.75,24310.65,24315.5,0
2025-04-29 12:10:00+05:30,24315.3,24322.3,24309.2,24316.6,0
2025-04-29 12:15:00+05:30,24316.4,24321.6,24310.65,24313.1,0
2025-04-29 12:20:00+05:30,24315.1,24315.85,24304.1,24313.65,0
2025-04-29 12:25:00+05:30,24312.95,24317.25,24306.6,24309.75,0
2025-04-29 12:30:00+05:30,24309.25,24330.8,24309.15,24329.95,0
2025-04-29 12:35:00+05:30,24328.75,24347.95,24325.4,24341.35,0
2025-04-29 12:40:00+05:30,24340.6,24346.8,24336.4,24341.85,0
2025-04-29 12:45:00+05:30,24338.8,24344.85,24330.6,24339.55,0
2025-04-29 12:50:00+05:30,24339.15,24358.35,24336.45,24357.9,0
2025-04-29 12:55:00+05:30,24357.75,24363.55,24353,24358.95,0
2025-04-29 13:00:00+05:30,24358.25,24369.5,24352.2,24368.4,0
2025-04-29 13:05:00+05:30,24368.05,24368.5,24350.6,24360.1,0
2025-04-29 13:10:00+05:30,24359.4,24363.55,24353.5,24356.85,0
2025-04-29 13:15:00+05:30,24355.45,24359.35,24341.35,24354.1,0
2025-04-29 13:20:00+05:30,24352.2,24363.15,24346.55,24362.9,0
2025-04-29 13:25:00+05:30,24362.1,24376.05,24356,24366.05,0
2025-04-29 13:30:00+05:30,24366.65,24371.7,24361.45,24366.8,0
2025-04-29 13:35:00+05:30,24366.5,24368.8,24357.4,24366.15,0
2025-04-29 13:40:00+05:30,24367.15,24372.7,24351,24353.9,0
2025-04-29 13:45:00+05:30,24352.7,24366.95,24351.75,24363.45,0
2025-04-29 13:50:00+05:30,24364,24368.75,24355.1,24355.65,0
2025-04-29 13:55:00+05:30,24356.65,24363.4,24347.65,24358.25,0
2025-04-29 14:00:00+05:30,24360.15,24368.3,24356.85,24363.55,0
2025-04-29 14:05:00+05:30,24363.8,24375.5,24360.6,24365.2,0
2025-04-29 14:10:00+05:30,24365.35,24374.8,24360.25,24365.95,0
2025-04-29 14:15:00+05:30,24366.9,24368.3,24355.05,24361.65,0
2025-04-29 14:20:00+05:30,24361.9,24367.55,24356.25,24357.15,0
2025-04-29 14:25:00+05:30,24357.75,24359.7,24342.4,24346,0
2025-04-29 14:30:00+05:30,24346.45,24350.5,24339,24343.45,0
2025-04-29 14:35:00+05:30,24343.75,24361.95,24343.75,24348.1,0
2025-04-29 14:40:00+05:30,24348.8,24360.7,24347.2,24356.45,0
2025-04-29 14:45:00+05:30,24356.2,24357.95,24347.85,24352.95,0
2025-04-29 14:50:00+05:30,24353.35,24358,24344.85,24346.85,0
2025-04-29 14:55:00+05:30,24346.8,24355.7,24339.45,24340.2,0
2025-04-29 15:00:00+05:30,24340.55,24347.8,24325.2,24331.4,0
2025-04-29 15:05:00+05:30,24331.55,24336.5,24324.9,24332.7,0
2025-04-29 15:10:00+05:30,24332.6,24335.6,24324.45,24326.45,0
2025-04-29 15:15:00+05:30,24326.2,24341.45,24310.6,24339.65,0
2025-04-29 15:20:00+05:30,24338.85,24348.5,24325.85,24333.1,0
2025-04-29 15:25:00+05:30,24331.55,24340.85,24317.6,24325.45,0
